,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
547,547,38265950,데이터분석,서울,강남구,주식회사 아이애드원,블로그/sns/페이스북/바이럴마케팅-기획및관리경력직채용,경력2년,초대졸,정규직,0804,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
548,548,38351169,데이터분석,서울,강동구,(주)도도커뮤니케이션,"암사광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
549,549,38409419,데이터분석,서울,강남구,주식회사 아이애드원,온라인광고대행AE신입.경력사원모집,경력무관,고졸,정규직,0904,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
550,550,38351141,데이터분석,서울,강동구,(주)도도커뮤니케이션,"광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
551,551,38414484,데이터분석,서울,금천구,(주)미래아이엔씨,"디지털마케팅운영관리(서울/경력,신입)",경력무관,대졸,정규직,0904,1068193204,None,"서울 금천구 디지털로9길 68, 301호 부터 310호, 1109호 부터 1110호, 1801호 부터 1805호"
552,552,38262896,데이터분석,서울,강남구,㈜인텔리코드,"데이터분석개발정규직모집(신입,경력)",경력무관,대졸,정규직,0804,1428123607,"3,803","경기 수원시 영통구 광교로 105, 705호"
553,553,38251713,데이터분석,서울,관악구,프리윌린,데이터분석가(비즈니스분석가),경력3년,대졸,정규직,채용시,8348600713,"3,669","서울 관악구 관악로 217, 3층"
554,554,38399122,데이터분석,서울,성동구,(주)타파크로스,"소셜빅데이터분석가및마케팅기획,AE모집",경력무관,대졸,정규직,0831,2068630542,"3,653","서울 성동구 성수이로10길 14, 512호"
555,555,38369485,데이터분석,서울,강남구,(주)더원테크,빅데이터분석업무의프로그램개발자모십니다.,경력무관,대졸,정규직기간제,0825,5158150035,None,"경기 성남시 수정구 대왕판교로 815, 8층 837호"
556,556,38215768,데이터분석,서울,영등포구,(주)디에스랩글로벌,데이터분석가/데이터사이언티스트및마케터채용(신입/경력),경력무관,대졸,정규직,0725,4228801717,None,"서울 영등포구 국회대로70길 15-1, R동 510호"
557,557,38223650,데이터분석,서울,강남구,(주)앤서,빅데이터시스템구축및데이터분석엔지니어모집,경력무관,초대졸,정규직,0727,2118843136,"4,742","서울 강남구 삼성로104길 8, 6층"
